DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	2015	11	18	9	47	57	12450o	0	31	0	19	-20.27	108.94	-19.75	143.76	0.5037	2457344.9082986107	2069.86	-385.13	0.3902777777777778	2170
g	2015	11	20	9	32	35	12450o	0	36	0	19	-21.22	107.41	4.88	191.18	0.4593	2457346.897627315	2040.79	-403.18	0.5271111111111111	2170
g	2015	11	21	0	27	0	12450o	0	13	0	8	-20.55	108.73	14.44	207.89	0.4969	2457347.51875	869.84	-164.4	0.5802222222222222	2170
g	2015	11	22	12	25	16	12450o	0	8	0	5	-23.31	97.16	22.65	216.14	0.5848	2457349.017546296	485.8	-116.55	0.6258333333333334	2170
g	2015	11	23	9	4	36	12450o	0	4	0	2	-21.53	87.48	24.31	224.12	0.5523	2457349.8781944443	174.96	-43.06	0.6350555555555556	2170
g	2015	11	24	4	17	0	12450o	0	3	0	2	-22.97	88.26	35.63	232.37	0.6795	2457350.6784722223	176.52	-45.94	0.6979444444444444	2170
g	2015	11	19	7	28	7	12450o	0	13	0	7	-22.1	108.95	-7.83	169.97	0.4626	2457345.8111921297	762.65	-154.70000000000005	0.4565	2170
g	2002	12	26	11	11	32	10239a	0	8	0	5	-15.52	350.27	-24.89	119.79	0.4693	2452634.9663425926	1751.35	-77.6	0.3617222222222222	1997
g	2002	12	27	11	11	32	10239a	0	46	0	26	-16.88	339.06	-22.93	125.49	0.4555	2452635.9663425926	8815.56	-438.88	0.3726111111111111	1997
g	2002	12	28	16	18	0	10239a	0	99	0	53	-23.91	341.73	-4.17	169.56	0.3729	2452637.1791666667	18111.69	-1267.23	0.4768333333333333	1998
g	2002	12	30	11	11	32	10239a	0	9	0	5	-15.71	346.07	23.63	239.46	0.4503	2452638.9663425926	1730.35	-78.55000000000003	0.6312777777777777	1998
g	2002	12	31	13	12	32	10239a	0	10	0	6	-16.47	341.27	33.12	244.0	0.581	2452640.0503703705	2047.62	-98.82	0.684	1998
g	2013	1	13	9	49	38	11657m	0	5	0	3	-13.38	119.87	-43.72	104.73	0.6977	2456305.9094675924	359.61	-40.14	0.2571111111111111	2132
g	2013	1	19	0	21	0	11657m	0	3	0	1	-18.14	119.41	29.64	243.05	0.5293	2456311.514583333	119.41	-18.14	0.6646666666666666	2132
g	2013	1	20	1	12	0	11657m	0	1	0	1	-19.61	106.55	30.41	241.13	0.5466	2456312.55	106.55	-19.61	0.6689444444444445	2132
g	2009	10	1	9	31	11	11026m	0	1	0	1	-29.2	196.91	36.48	222.5	0.7705	2455105.8966550925	196.91	-29.2	0.7026666666666667	2088
g	2009	10	3	14	39	59	11026m	0	4	0	8	-29.62	197.2	65.97	236.2	0.9568	2455108.111099537	1577.6	-236.96	0.8665	2088
g	2009	10	4	7	17	19	11026m	0	3	0	7	-29.8	196.95	74.87	238.19	0.9865	2455108.803692129	1378.65	-208.6	0.9159444444444444	2088
g	2015	8	29	6	15	43	12406o	0	3	0	2	7.88	82.43	-36.94	86.38	0.5987	2457263.760914352	164.86	15.76	0.2947777777777778	2167
g	2015	9	2	10	22	25	12406o	0	11	0	6	8.84	82.8	18.53	276.24	0.3174	2457267.9322337965	496.8	53.04	0.6029444444444445	2167
g	1978	9	1	10	8	12	1285m	0	1	0	1	14.78	181.17	-64.86	77.03	0.9	2443752.9223611117	181.17	14.78	0.13966666666666666	1672
g	1978	9	2	9	40	28	1285m	0	2	0	1	16.66	179.23	-53.87	74.58	0.8049	2443753.9031018517	179.23	16.66	0.20072222222222225	1672
g	1978	9	3	9	47	26	1285m	0	4	0	3	16.23	179.74	-40.1	73.38	0.6455	2443754.907939815	539.22	48.69	0.2772222222222222	1672
g	1978	9	4	11	1	20	1285m	0	7	0	3	18.07	180.1	-25.81	64.33	0.4629	2443755.959259259	540.3	54.21	0.3566111111111111	1672
g	1978	9	5	12	21	7	1285m	0	7	0	4	16.07	177.89	-14.09	57.03	0.2819	2443757.014664352	711.56	64.28	0.4217222222222222	1672
g	1978	8	5	9	5	17	1242	0	6	0	11	18.43	168.93	-74.52	72.54	0.9597	2443725.8786689816	1858.23	202.73	0.08600000000000002	1671
g	1978	8	6	9	43	17	1242	1	8	1	7	18.04	171.0	-58.88	72.58	0.8526	2443726.9050578703	1197.0	126.28	0.17288888888888887	1671
g	1978	8	7	11	45	44	1242	0	6	0	5	18.05	173.07	-42.47	70.24	0.6836	2443727.9900925932	865.3499999999997	90.25	0.26405555555555554	1671
g	1978	8	8	10	10	20	1242	0	18	0	12	19.82	168.74	-34.49	64.66	0.5859	2443728.9238425926	2024.88	237.84	0.3083888888888889	1671
