10	1980	1697	2583	2618
5	1980	1697	2585	2627
10	1980	1697	2600	2650n
10	1980	1698	2633	2669
5	1980	1698	2626	2674
5	1980	1698	2645	2696
15	1980	1699	2672	2727
10	1980	1699	2675	2725
15	1980	1699	2680	2734
10	1980	1699	2696	2757
5	1980	1699	2700	2757
5	1980	1700	2708	2748
10	1980	1700	2713	2769
5	1980	1700	2725	2786
5	1980	1701	2777	2810
5	1980	1701	2777	2816
5	1980	1701	2782	2817
10	1980	1701	2797	2845
5	1980	1702	2810	2857
15	1980	1702	2816	2857
5	1980	1702	2829	2874
15	1980	1702	2842	2887
5	1980	1703	2857	2904
10	1981	1703	2874	2918
5	1981	1703	2881	2924
15	1981	1703	2890	2932m
5	1981	1703	2890	2937
10	1981	1704	2899	2942
10	1981	1704	2912	2942n
10	1981	1704	2918	2955
5	1981	1704	2926	2958
10	1981	1705	2950	2975
5	1981	1705	2950	2981
10	1981	1705	2960	3002
5	1981	1705	2951n	2992m
5	1981	1705	2973	3011
5	1981	1705	2975	3032
5	1981	1706	2986	3021
5	1981	1706	3002	3072
5	1981	1706	3003	3062n
5	1981	1707	3039	3100
5	1981	1707	3045	3103
5	1981	1707	3078	3129
10	1981	1708	3113	3158
15	1981	1709	3158	3205
5	1981	1709	3172	3221
5	1981	1709	3180	3234
10	1981	1710	3182	3227
15	1981	1710	3185	3234
15	1981	1710	3186	3237
5	1981	1710	3219	3257n
15	1981	1710	3232	3274
5	1981	1710	3232	3278
5	1981	1710	3232	3282
5	1981	1710	3230	3290
15	1981	1710	3230	3290m
5	1981	1710	3234	3284
5	1981	1710	3234	3294
5	1981	1710	3236	3299
5	1981	1711	3244	3294
10	1981	1711	3255	3292
5	1981	1711	3262	3327
10	1981	1711	3267	3314
10	1981	1711	3284	3334
5	1981	1711	3284	3341
10	1981	1712	3287	3341
5	1981	1712	3294	3334
10	1981	1712	3300	3363
10	1981	1712	3306	3361
15	1981	1712	3302	3351
5	1981	1712	3302	3359
10	1981	1712	3310	3378
15	1981	1712	3316	3369
5	1981	1712	3316	3374
5	1981	1712	3345	3404
5	1981	1713	3359	3416
10	1981	1713	3363	3416
10	1981	1713	3380	3423
5	1981	1713	3380	3420m
15	1981	1713	3385	3425m
10	1981	1713	3388	3430
5	1981	1713	3402	3452
5	1981	1713	3403	3457
15	1981	1714	3416	3461
5	1981	1714	3416	3464
10	1981	1714	3432	3477
5	1981	1714	3445	3479
5	1981	1714	3442	3489
15	1981	1714	3450	3493
5	1981	1715	3465	3498
15	1981	1715	3467	3504
5	1981	1715	3477	3523
5	1981	1715	3481	3526
5	1981	1715	3481	3527
15	1981	1716	3514	3543
5	1981	1716	3515	3553
5	1981	1716	3521	3566
15	1982	1717	3540	3583
10	1982	1717	3540	3584
5	1982	1717	3545	3583
5	1982	1717	3545	3584
5	1982	1717	3549	3600
10	1982	1717	3559	3600
5	1982	1717	3559	3601
15	1982	1717	3559	3600m
5	1982	1717	3554	3597
10	1982	1717	3576	3619
5	1982	1717	3576	3622
5	1982	1717	3578	3618
5	1982	1717	3583	3630m
15	1982	1717	3583	3630
5	1982	1718	3595	3626
15	1982	1718	3594	3635
15	1982	1718	3603	3632
10	1982	1718	3619	3657
5	1982	1718	3619	3656
5	1982	1718	3629	3664
10	1982	1719	3630	3658
5	1982	1719	3631	3664
15	1982	1719	3643	3680
5	1982	1720	3693	3717
10	1982	1721	3709	3731
5	1982	1721	3714	3750
10	1982	1721	3717	3764m
5	1982	1721	3717	3754
5	1982	1721	3717	3754m
10	1982	1721	3734a	3763m
5	1982	1722	3751	3780
5	1982	1722	3753	3782c
5	1982	1722	3763	3794
10	1982	1722	3763	3799
5	1982	1722	3767	3795
5	1982	1722	3767	3795m
5	1982	1722	3783	3802
15	1982	1723	3789	3815
