Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
2002	1991	10037	2452471.7521643518	2452484.019618056	3052	286.21300786369585	13.962942332896464	0.04016666666666669	0.9399444444444444	285.9	286.45	0.5500000000000114	13.69	14.43	0.7400000000000002
2002	1992	10066	2452495.813125	2452507.733414352	1128	332.3782712765958	13.624867021276595	0.06366666666666664	0.9198888888888888	328.84	333.6	4.760000000000048	13.22	16.37	3.1500000000000004
2002	1994	10127	2452538.1513888887	2452545.9601157405	3055	189.97928641571198	-12.89068412438625	0.3695555555555555	0.9722777777777776	188.07	193.44	5.3700000000000045	-14.06	-12.24	1.8200000000000005
2002	1995	10154	2452557.8914467595	2452569.0806828705	645	232.08303875969003	-12.886325581395347	0.08311111111111108	0.8875	227.75	236.0	8.25	-14.92	-12.03	2.890000000000001
2003	1998	10254	2452650.059398148	2452661.9663425926	1872	101.79950320512822	-13.993237179487181	0.07800000000000004	0.9603888888888892	99.89	102.7	2.8100000000000023	-14.64	-13.54	1.1000000000000014
2003	1998	10255	2452646.9663425926	2452659.8702314813	3357	131.19480786416443	-13.279246350908547	0.022499999999999985	0.9738888888888888	130.39	132.42	2.0300000000000007	-14.06	-13.02	1.0400000000000011
2003	1999	10276	2452671.9663425926	2452685.040185185	2913	161.9619395811878	-13.511527634740816	0.03683333333333332	0.9505	156.78	166.08	9.300000000000011	-15.16	-12.41	2.75
2003	1999	10277c	2452674.9663425926	2452674.9663425926	10	133.56999999999996	-13.66	0.08594444444444442	0.08594444444444442	133.57	133.57	0.0	-13.66	-13.66	0.0
2003	1999	10287	2452678.7969560185	2452687.0269444445	168	122.29267857142858	11.489880952380952	0.27388888888888885	0.9231666666666668	117.2	125.69	8.489999999999995	10.71	13.1	2.3899999999999992
1978	1665	1029	2443574.6006828705	2443586.9847685187	8293	342.1018171952248	14.999330760882671	0.041444444444444416	0.9234444444444444	356.03	0.48	4.450000000000029	13.82	15.34	1.5199999999999996
