Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
2015	2161	12307p	2457104.1260416666	2457109.8192708334	76	23.40921052631579	-7.034736842105263	0.29000000000000004	0.6637777777777778	17.74	32.2	14.460000000000004	-15.13	-2.72	12.41
2015	2161	12310	2457104.1260416666	2457114.8672800926	735	340.88002721088435	12.118721088435375	0.0842222222222222	0.7601111111111111	335.12	355.16	20.04000000000002	5.9	17.21	11.31
2015	2162	12314m	2457111.817962963	2457121.8053703704	32	271.884375	-15.759062499999999	0.34155555555555556	0.6908888888888889	227.23	300.0	72.77000000000001	-34.59	-7.89	26.700000000000003
2015	2164	12355o	2457171.7600578703	2457172.766701389	2	254.27	-7.38	0.4877222222222223	0.4912222222222222	241.59	254.27	12.680000000000007	-18.38	-7.38	11.0
2015	2165	12369p	2457192.0624189815	2457196.8359375	11	321.10181818181815	14.584545454545456	0.37794444444444447	0.6587222222222222	310.42	327.19	16.769999999999982	6.68	22.61	15.93
2015	2166	12381t	2457219.9531712965	2457223.756412037	11	328.54272727272723	17.89363636363636	0.474	0.6967777777777778	323.3	340.17	16.870000000000005	3.31	19.52	16.21
2015	2165	12388	2457213.7564930557	2457221.758414352	112	23.87125	13.138928571428574	0.29105555555555557	0.8909444444444444	22.62	25.11	2.4899999999999984	9.12	19.25	10.13
2015	2167	12406o	2457263.760914352	2457270.085763889	13	76.69846153846153	11.686153846153845	0.2947777777777778	0.6086666666666667	55.39	82.8	27.409999999999997	7.88	18.36	10.48
1978	1671	1242	2443725.8786689816	2443736.9001041665	144	173.56	17.930277777777775	0.08600000000000002	0.8708888888888888	158.42	176.88	18.460000000000008	16.24	26.81	10.57
2015	2169	12434p	2457313.9581944444	2457317.783912037	14	144.37714285714284	20.595	0.2431111111111111	0.5781666666666666	130.56	151.51	20.94999999999999	13.96	28.25	14.29
2015	2171	12468n	2457371.8367939815	2457377.915625	34	105.86676470588236	-23.77617647058824	0.3844444444444445	0.7170555555555556	63.68	123.61	59.93	-32.03	-20.24	11.790000000000003
2015	2171	12470m	2457372.892534722	2457380.9091666667	30	38.71266666666667	17.249333333333333	0.10944444444444446	0.6016111111111111	32.58	49.6	17.020000000000003	7.51	22.02	14.51
1978	1671	1248	2443731.947037037	2443737.921909722	9	112.76444444444445	17.202222222222225	0.23533333333333334	0.6457222222222222	109.81	115.59	5.780000000000001	9.57	24.94	15.370000000000001
1978	1672	1285m	2443752.9223611113	2443759.9397569443	24	164.25333333333336	21.094166666666666	0.13966666666666666	0.4876111111111111	146.69	181.17	34.47999999999999	14.78	26.82	12.040000000000001
1980	1694	2405	2444352.8272800925	2444358.8181712963	27	218.1518518518519	4.595185185185185	0.3227777777777778	0.7354444444444445	214.94	224.55	9.610000000000014	-2.03	8.67	10.7
1981	1708	3115	2444740.0416782405	2444745.7272106484	17	132.9264705882353	31.581176470588236	0.2437777777777778	0.6353333333333333	129.66	135.29	5.6299999999999955	25.44	36.81	11.370000000000001
1981	1709	3164	2444768.021851852	2444774.917025463	21	128.7266666666667	18.700952380952383	0.2917777777777778	0.759888888888889	122.04	134.41	12.36999999999999	15.03	25.78	10.750000000000002
1981	1712	3333	2444859.7885648147	2444868.7413078705	184	323.14853260869563	-17.475815217391307	0.08888888888888889	0.7663333333333333	322.26	326.99	4.730000000000018	-29.88	-16.66	13.219999999999999
1981	1713	3358	2444869.7536574076	2444875.0181712965	36	227.3427777777778	17.418611111111108	0.29444444444444445	0.6686666666666666	225.5	228.11	2.6100000000000136	11.06	21.78	10.72
1981	1714	3408	2444894.8097453704	2444900.8951041666	12	260.87666666666667	16.175	0.3517222222222222	0.7547777777777779	258.25	267.82	9.569999999999993	11.52	22.31	10.79
1981	1715	3469m	2444930.467013889	2444930.7295138887	37	170.11054054054054	-13.841351351351351	0.41833333333333333	0.4493888888888889	169.65	171.78	2.1299999999999955	-23.09	-11.29	11.8
1981	1716	3523	2444960.991226852	2444969.503125	198	67.59247474747474	-11.146666666666667	0.10300000000000004	0.6958333333333333	59.1	70.68	11.580000000000005	-19.31	-8.03	11.28
1982	1730	4039m	2445333.868715278	2445337.985324074	6	254.21000000000004	-17.355	0.5601111111111111	0.6679444444444445	236.81	271.61	34.80000000000001	-25.87	-8.84	17.03
1983	1730	4055n	2445340.7600694443	2445343.7600694443	24	137.33208333333334	20.546666666666667	0.3055	0.5485555555555556	135.03	139.28	4.25	14.09	26.01	11.920000000000002
1989	1811	5351	2447560.820138889	2447569.0524652777	29	311.1579310344828	32.072758620689655	0.11355555555555555	0.647611111111111	290.73	319.26	28.529999999999973	29.51	39.54	10.029999999999998
1989	1820	5705	2447789.1521527776	2447793.7967939815	55	265.3627272727272	22.39381818181818	0.5481111111111111	0.919	259.45	266.71	7.259999999999991	21.5	32.54	11.04
1990	1824	5897	2447910.863738426	2447919.7354166666	389	5.9224935732647825	-10.2112853470437	0.060777777777777764	0.6802222222222222	2.1	9.14	7.040000000000001	-20.48	-8.63	11.85
1990	1830	6146	2448079.849664352	2448090.812037037	97	316.72556701030925	-15.616082474226804	0.20111111111111113	0.9112222222222222	290.23	323.45	33.21999999999997	-21.93	-8.93	13.0
1990	1833	6249	2448137.7695949073	2448145.9342939816	104	251.1278846153846	15.658173076923076	0.059722222222222225	0.6782777777777778	247.83	255.62	7.789999999999992	14.71	25.68	10.969999999999999
1990	1837	6430	2448253.7375	2448262.8644097224	612	203.40101307189545	-8.038888888888888	0.2758333333333333	0.9475	201.66	214.33	12.670000000000016	-18.22	-6.76	11.459999999999999
1991	1843	6690	2448428.1946643516	2448435.1983796298	17	19.65294117647059	-13.317647058823528	0.05144444444444447	0.5706111111111112	14.11	21.64	7.530000000000001	-15.56	-5.37	10.190000000000001
1991	1843	6691	2448428.1946643516	2448435.1983796298	67	18.57507462686567	-24.101194029850742	0.05038888888888885	0.5636666666666668	16.07	19.21	3.1400000000000006	-26.13	-13.07	13.059999999999999
1991	1844	6708	2448436.734398148	2448439.1682175924	17	323.3	15.660000000000002	0.29455555555555557	0.5557777777777777	310.13	329.42	19.29000000000002	-29.54	34.52	64.06
1991	1847	6844	2448519.8020949075	2448525.9924421296	163	305.34668711656445	-11.075398773006135	0.3396111111111111	0.8143888888888889	300.03	306.19	6.160000000000025	-21.56	-9.83	11.729999999999999
1992	1852	7063	2448666.9416203704	2448675.986076389	172	116.67238372093021	-14.365697674418605	0.08433333333333337	0.7732222222222223	114.3	119.78	5.480000000000004	-22.12	-11.0	11.120000000000001
1992	1855	7163c	2448754.801273148	2448757.7887731483	5	62.644000000000005	10.762	0.2628888888888889	0.45933333333333337	59.48	67.98	8.500000000000007	5.32	16.18	10.86
1992	1860	7278	2448873.7834606483	2448878.775497685	58	303.2755172413793	11.47655172413793	0.34572222222222226	0.6843333333333333	302.33	309.05	6.720000000000027	10.55	20.63	10.079999999999998
1992	1861	7312	2448909.825011574	2448914.8615625	137	144.85547445255477	20.22445255474453	0.07483333333333332	0.4645	141.38	148.34	6.960000000000008	6.31	21.43	15.120000000000001
1976	1645	732	2443016.855810185	2443020.9061805555	27	218.7296296296296	-6.07962962962963	0.3806111111111111	0.6890000000000001	216.39	221.78	5.390000000000015	-8.36	1.85	10.209999999999999
1992	1862	7339	2448937.8118287036	2448942.538888889	51	178.87901960784313	-16.212745098039218	0.3068333333333333	0.6243333333333333	172.14	180.74	8.600000000000023	-17.78	-7.64	10.14
1976	1649	761	2443125.5625	2443131.5225694445	344	234.1268895348837	-25.169127906976744	0.38805555555555554	0.8645555555555556	227.19	238.66	11.469999999999999	-27.23	-10.45	16.78
1998	1932	8163	2450862.9409953705	2450871.0855555558	147	335.0944217687075	-22.346054421768706	0.32672222222222225	0.9502777777777779	326.03	339.11	13.080000000000041	-32.35	-21.37	10.98
1998	1942	8369m	2451117.901087963	2451119.9511226853	4	208.8975	16.3575	0.39572222222222225	0.43516666666666665	198.67	218.62	19.950000000000017	13.16	23.85	10.690000000000001
1998	1944	8426m	2451178.938166225	2451189.2159722224	6	80.15666666666668	-1.668333333333333	0.2143888888888889	0.7032777777777778	54.22	101.64	47.42	-19.3	14.47	33.77
1999	1947	8499n	2451258.8072453705	2451264.7887962963	5	133.42000000000002	31.074	0.2892777777777778	0.6493333333333333	129.06	143.19	14.129999999999995	27.68	40.69	13.009999999999998
2000	1959	8853	2451574.9989814814	2451584.9594444446	292	241.29061643835612	-15.146232876712329	0.03455555555555555	0.6531111111111111	222.82	249.46	26.640000000000015	-23.63	-10.27	13.36
2001	1982	9683a	2452212.8330208333	2452215.1534722224	36	178.05805555555557	-14.16888888888889	0.4612222222222222	0.5885	170.94	183.59	12.650000000000006	-23.58	-12.27	11.309999999999999
2001	1983	9720	2452241.9779050928	2452253.928587963	1413	80.98222222222222	-20.503326256192498	0.07350000000000002	0.8641111111111113	69.45	85.43	15.980000000000004	-29.9	-17.44	12.459999999999997
