15	1974	1610	320	347
5	1974	1611	349	362m
10	1974	1611	352	364
5	1974	1612	368	380
10	1974	1613	377	390
5	1974	1613	377	401
15	1974	1613	377	392
15	1974	1613	375	399
10	1974	1613	379	399
15	1974	1613	385	408m
15	1974	1614	397	412o
10	1974	1614	390	418m
15	1974	1614	393	417
15	1974	1614	393	421o
10	1974	1614	399	419m
10	1974	1614	399	416
15	1974	1614	399	423
10	1974	1614	413	428
15	1974	1615	416	431
10	1974	1615	416	433
5	1974	1616	435	451
15	1974	1616	435	455m
15	1974	1616	431	455
10	1974	1616	433	454
10	1974	1616	433	459
5	1974	1616	438	461
10	1974	1616	438	462
10	1974	1616	445	466
10	1974	1617	451	476t
10	1974	1617	461	479
10	1974	1617	466	480
15	1974	1617	469	489
15	1974	1618	472	490m
15	1974	1618	472	488
10	1974	1618	472	490
15	1974	1618	476	490m
10	1974	1618	476	488
10	1974	1618	479	497
10	1974	1619	487	503
10	1974	1619	497	515
10	1974	1620	505	519
5	1974	1621	524	536
10	1974	1621	528	539m
15	1974	1621	528	539
10	1974	1622	534	548m
5	1974	1622	536	552
15	1975	1625	571	579m
10	1975	1629	601	606
10	1975	1629	603	610
10	1975	1629	604	614
5	1975	1630	609	622
10	1975	1630	615	627
10	1975	1630	614	627n
15	1975	1630	618	634m
15	1975	1630	618	634n
10	1975	1630	620	634m
15	1975	1630	620	634n
15	1975	1631	619	635
5	1975	1631	619	633
15	1975	1631	628	649
5	1975	1632	633	657m
10	1975	1633	659	664
15	1975	1633	659m	665n
5	1975	1633	659m	665m
10	1975	1634	667	671
15	1976	1636	675	679m
10	1976	1636	676	680
15	1976	1639	688	696
15	1976	1639	692	698m
10	1976	1639	690	700
15	1976	1640	693	704
10	1976	1640	694	704
15	1976	1640	700	711
5	1976	1640	700	712
5	1976	1644	724	733
5	1976	1645	733	742
15	1976	1646	743	755
5	1976	1648	757	762
10	1977	1653	807	817
5	1977	1655	828	836
5	1977	1655	827	837
5	1977	1656	837	847
10	1977	1656	839	851
15	1977	1657	849	870
10	1977	1657	855	879
15	1977	1657	861	882
5	1977	1658	864	886
15	1977	1658	877	894
10	1977	1658	874	892
10	1977	1659	890	910
10	1977	1659	889	908
15	1977	1659	892	918
15	1977	1659	899	925
10	1977	1660	908	930n
5	1977	1660	917	932m
15	1977	1660	917	931
15	1977	1661	930	946
15	1977	1662	946	966
15	1977	1662	947	967
10	1977	1662	947	967m
5	1977	1663	969	985
15	1977	1663	970	990
5	1978	1663	980	999
15	1978	1663	980	997
15	1978	1664	985	1011
10	1978	1664	991	1020
10	1978	1664	999	1024
5	1978	1664	997	1024
10	1978	1664	1001	1028
10	1978	1665	1008	1035
5	1978	1665	1011	1036
5	1978	1665	1014m	1043a
10	1978	1665	1014	1039
15	1978	1665	1017	1049
10	1978	1665	1024	1052
5	1978	1665	1028	1060
15	1978	1665	1029	1063
15	1978	1666	1035	1073
10	1978	1666	1047	1082
5	1978	1666	1040	1083
15	1978	1666	1070	1105
15	1978	1666	1070	1108
15	1978	1667	1075	1105
15	1978	1667	1088	1125
15	1978	1667	1084	1114
15	1978	1667	1090	1112a
15	1978	1667	1090	1126
15	1978	1667	1086	1122
10	1978	1667	1086	1118
15	1978	1667	1083	1121
15	1978	1667	1092	1131
15	1978	1667	1095	1131
10	1978	1667	1108	1146
10	1978	1668	1110	1152
10	1978	1668	1115	1158a
