Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
2015	2161	12307p	2457104.126041666	2457109.819270833	73	23.164246575342467	-7.212054794520548	0.29000000000000004	0.6637777777777778	17.74	32.2	14.460000000000004	-15.13	-5.57	9.56
2015	2161	12310	2457104.126041666	2457112.9009837965	731	340.91154582763335	12.090861833105336	0.0842222222222222	0.6307777777777778	336.03	355.16	19.130000000000052	5.9	14.82	8.92
2015	2163	12332m	2457137.7582523148	2457139.7853935184	3	325.8066666666667	-5.43	0.3528888888888889	0.5533888888888889	319.6	328.91	9.310000000000002	-7.65	-4.32	3.33
2015	2163	12334m	2457149.754976852	2457152.850486111	7	179.89714285714285	-29.684285714285714	0.4736666666666667	0.622	163.48	182.78	19.30000000000001	-32.29	-28.75	3.539999999999999
2015	2165	12369p	2457192.0624189815	2457196.8359375	7	324.0228571428571	19.101428571428574	0.3779444444444445	0.6587222222222222	310.42	327.19	16.769999999999982	18.35	22.61	4.259999999999998
2015	2165	12388	2457213.7564930557	2457221.758414352	107	23.888130841121498	13.326728971962616	0.2910555555555556	0.8909444444444444	22.62	25.11	2.4899999999999984	10.43	19.25	8.82
2015	2166	12391m	2457231.1214814815	2457240.753599537	164	137.79384146341465	14.97201219512195	0.2943333333333333	0.9446111111111112	119.94	153.85	33.91	12.11	18.26	6.150000000000002
2015	2167	12403w	2457259.766481481	2457264.7521296297	58	141.51258620689654	15.100689655172413	0.3795555555555555	0.5783888888888888	120.45	155.42	34.969999999999985	13.65	16.61	2.959999999999999
2015	2167	12406o	2457263.760914352	2457267.9322337965	8	82.70750000000001	8.6	0.2947777777777778	0.6029444444444445	82.43	82.8	0.36999999999999034	7.88	8.84	0.96
1978	1671	1242	2443725.8786689816	2443736.9001041665	113	172.84973451327434	18.30761061946903	0.08600000000000002	0.8708888888888888	164.52	176.88	12.359999999999985	17.0	26.81	9.809999999999999
2015	2169	12434p	2457313.9581944444	2457317.783912037	9	140.41444444444446	24.28111111111111	0.2431111111111111	0.5781666666666666	130.56	144.37	13.810000000000002	22.69	28.25	5.559999999999999
2015	2170	12450o	2457342.859398148	2457350.6784722223	78	108.47423076923079	-20.47846153846154	0.3023888888888889	0.6979444444444444	87.48	120.1	32.61999999999999	-23.31	-16.7	6.609999999999999
2015	2171	12465s	2457369.8746412043	2457374.8649652777	38	127.73289473684208	12.406578947368422	0.33555555555555555	0.7056111111111111	124.9	130.91	6.009999999999991	10.97	14.76	3.789999999999999
2015	2171	12468n	2457371.836793981	2457375.8502199072	23	119.20478260869565	-20.803478260869564	0.4291111111111111	0.7170555555555556	113.16	123.61	10.450000000000003	-21.69	-20.24	1.4500000000000028
2015	2171	12470m	2457372.8925347216	2457379.861516204	28	39.15071428571429	17.945	0.10944444444444447	0.5543888888888888	34.31	49.6	15.29	13.46	22.02	8.559999999999999
1978	1671	1248	2443731.947037037	2443737.921909722	5	113.5	13.532	0.2353333333333333	0.6457222222222222	110.49	115.59	5.1000000000000085	9.57	16.09	6.52
1978	1672	1285m	2443752.9223611117	2443757.014664352	12	179.29	16.551666666666666	0.13966666666666666	0.4217222222222222	177.89	181.17	3.280000000000001	14.78	18.07	3.290000000000001
1978	1673	1309	2443775.9777893517	2443786.863541667	586	209.00667235494885	37.72247440273038	0.06572222222222221	0.6941111111111111	192.92	223.46	30.54000000000002	34.96	42.14	7.18
1980	1694	2405	2444352.8272800925	2444357.972939815	25	218.40880000000004	5.1251999999999995	0.3227777777777778	0.6829444444444445	215.54	224.55	9.01000000000002	3.35	8.67	5.32
